     #MC step,      Etot,     sig666,   sig655,   sig555,   sig544,   sig533,   sig532,   sig522,   sig521,   sig444,   sig433,   sig422,   sig421,   sig411,   sig400,   sig322,   sig311,   sig300,   sig211,   sig200,   sig100,   sig000
        23,     -141.805603, 0.000000, 0.000000, 0.099567, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.367965, 0.012987, 0.000000, 0.000000, 0.238095, 0.225108, 0.021645, 0.012987, 0.021645, 0.000000, 0.000000
        24,     -140.209167, 0.000000, 0.000000, 0.087336, 0.104803, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.174672, 0.126638, 0.052402, 0.000000, 0.000000, 0.187773, 0.131004, 0.004367, 0.061135, 0.065502, 0.004367, 0.000000
        25,     -140.771790, 0.000000, 0.000000, 0.090090, 0.054054, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.144144, 0.130631, 0.031532, 0.004505, 0.000000, 0.198198, 0.157658, 0.013514, 0.072072, 0.099099, 0.004505, 0.000000
        26,     -140.676453, 0.000000, 0.000000, 0.053571, 0.044643, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.084821, 0.223214, 0.075893, 0.004464, 0.000000, 0.196429, 0.196429, 0.004464, 0.062500, 0.053571, 0.000000, 0.000000
        27,     -140.783463, 0.000000, 0.000000, 0.071429, 0.053571, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.093750, 0.169643, 0.017857, 0.000000, 0.000000, 0.250000, 0.218750, 0.035714, 0.008929, 0.080357, 0.000000, 0.000000
        28,     -140.280807, 0.000000, 0.000000, 0.105727, 0.101322, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.167401, 0.074890, 0.048458, 0.004405, 0.000000, 0.224670, 0.145374, 0.004405, 0.070485, 0.048458, 0.004405, 0.000000
        29,     -140.515106, 0.000000, 0.000000, 0.102222, 0.066667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.160000, 0.084444, 0.031111, 0.004444, 0.000000, 0.244444, 0.160000, 0.008889, 0.044444, 0.093333, 0.000000, 0.000000
        30,     -141.813004, 0.000000, 0.000000, 0.095238, 0.004329, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.359307, 0.000000, 0.000000, 0.000000, 0.229437, 0.251082, 0.021645, 0.000000, 0.038961, 0.000000, 0.000000
        31,     -140.930313, 0.000000, 0.000000, 0.076233, 0.031390, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.058296, 0.201794, 0.031390, 0.000000, 0.000000, 0.215247, 0.233184, 0.044843, 0.017937, 0.080717, 0.008969, 0.000000
        32,     -140.206711, 0.000000, 0.000000, 0.085202, 0.067265, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.152466, 0.121076, 0.017937, 0.008969, 0.000000, 0.197309, 0.156951, 0.035874, 0.053812, 0.098655, 0.004484, 0.000000
        33,     -140.474762, 0.000000, 0.000000, 0.071749, 0.076233, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.134529, 0.094170, 0.085202, 0.000000, 0.000000, 0.179372, 0.179372, 0.017937, 0.080717, 0.076233, 0.004484, 0.000000
        34,     -140.515106, 0.000000, 0.000000, 0.169312, 0.068783, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.132275, 0.095238, 0.005291, 0.005291, 0.000000, 0.269841, 0.105820, 0.021164, 0.042328, 0.084656, 0.000000, 0.000000
