,Unnamed: 0,Edad (años),Peso (en kilogramos),Estatura (en metros),Horas de actividad física (por semana) ,Cantidad de horas de sueño diarias,Cantidad de hora sentado al día,Cantidad de agua consumida por día (en litros),"Consumo diario de bebidas azucaradas (refrescos, jugos, etc.) en litros.",Consumo de cerveza por semana (en litros),Cantidad de comidas diarias,Visitas diarias al baño?,Padeces alguna enfermedad que te impida ejercitarte?,Padeces alguna enfermedad que influya en tu peso?,Consumes comida chatarra de forma cotidiana?,Consideras que sigues una dieta saludable?
62,62,22,58.0,1.65,0.0,6.5,9.0,2,1,0,3.0,2,0,0,1,0
63,63,18,49.0,1.6,4.0,6.0,7.0,1,0,0,3.0,1,0,0,1,1
64,64,19,53.0,1.71,28.0,6.0,6.0,2,2,0,3.0,4,0,1,0,0
65,65,16,68.0,1.88,6.0,6.0,2.0,4,2,0,3.0,5,0,0,1,0
66,66,17,60.0,1.65,0.75,7.0,10.0,2,0.9,0,3.0,5,0,0,0,1
67,67,20,60.0,1.67,2.0,5.0,8.0,0,1,0,2.0,4,0,0,1,0
68,68,17,42.0,1.58,3.0,10.0,7.0,2,1,0,4.0,5,0,0,0,0
69,69,18,74.0,1.7,2.0,6.0,8.0,1,1,8,3.0,3,0,0,0,0
70,70,20,72.2,1.74,5.0,8.0,7.0,2,1,1,3.0,3,0,0,0,0
71,71,17,52.0,1.58,1.0,8.0,6.0,2,0,0,3.0,3,0,0,0,1
72,72,20,60.0,1.75,2.0,6.0,12.0,2,0.5,1,2.0,2,0,0,0,0
73,73,18,80.0,1.75,5.0,8.0,4.0,3,0,0,3.0,3,0,0,1,0
74,74,23,117.0,1.64,15.0,6.0,4.0,3,0,2,2.0,2,0,1,0,0
75,75,19,60.0,1.6,5.0,6.0,6.0,1,0,0,4.0,2,0,0,0,1
76,76,18,100.0,1.91,10.0,7.0,4.0,3,1,8,3.0,5,0,0,0,0
77,77,18,106.0,1.84,15.0,6.0,4.0,2,.5,0,5.0,3,0,0,0,1
78,78,18,45.0,1.62,4.0,9.0,4.0,3,2,1,2.0,3,0,0,1,0
79,79,19,45.0,1.64,3.0,8.0,7.0,1.5,0.4,0,5.0,4,0,0,0,1
80,80,18,62.0,1.58,4.0,8.0,4.0,2,2,0,3.0,3,0,0,0,0
81,81,16,56.0,1.67,2.0,9.0,7.0,2,0.5,0,5.0,3,1,0,1,0
82,82,18,90.0,1.82,7.0,8.0,10.0,2,1,0,4.0,4,1,0,1,0
83,83,18,56.0,1.56,2.0,8.0,3.0,1,1,0,3.0,2,0,0,0,0
84,84,15,58.0,1.68,14.0,8.0,11.0,1,1,0,3.0,6,0,0,0,0
85,85,19,48.0,165,9.0,8.0,8.0,2,0,0,3.0,3,0,0,0,1
86,86,18,52.0,1.57,5.0,9.0,1.5,1,0.5,0.1,1.0,3,0,0,1,0
87,87,18,42.7,1.4,5.0,7.0,5.0,1.5,0.5,0,4.0,3,0,0,0,0
88,88,19,57.0,1.67,14.0,9.0,7.0,2,0.1,2,4.0,3,0,0,1,0
89,89,16,55.0,1.6,12.0,7.0,5.0,2,0,0,6.0,5,0,0,0,1
90,90,22,72.0,1.53,27.0,7.0,7.0,2,0,0,3.0,5,0,0,0,1
