,Edad,Peso (Kg),Estatura (metros),Tiempo de actividad física diaría (horas),Días de actividad (por semana) ,Consumo de agua por día (litros),Comidas al día ,Bebidas gaseosas (Refrescos) (litros por día),Horas sentado durante el día ,Horas de sueño por día,Cantidad de cheve por seman (litros),Consumes comida chatarra de forma cotidiana
76,16,48.0,1.68,0.0,0,2.0,3,0.4,10,8.0,0.0,1
77,38,70.0,1.61,1.0,5,3.0,3,0.0,8,7.0,0.0,1
78,18,76.0,1.64,1.0,4,1.0,3,0.0,13,7.0,0.0,0
79,19,65.0,1.54,1.0,3,3.0,3,0.0,7,6.0,0.0,0
80,18,89.0,1.92,9.0,5,2.0,4,2.0,6,6.0,2.0,0
81,19,54.0,1.64,2.0,7,2.0,3,0.6,10,8.0,1.0,1
82,24,77.0,1.65,1.0,5,1.5,3,0.0,6,6.0,2.0,1
83,18,80.0,1.66,0.0,1,2.0,3,1.0,7,6.0,0.0,1
84,32,58.0,1.5,1.0,3,1.5,2,0.5,12,7.0,1.0,1
85,19,56.0,1.55,0.3,5,2.0,3,3.0,12,11.0,2.0,1
86,22,52.0,1.57,0.5,5,1.0,3,0.0,6,7.0,0.0,0
87,17,57.8,1.63,2.0,5,1.0,5,0.0,6,9.0,0.0,1
88,41,70.0,1.6,0.5,3,2.0,2,0.0,10,6.0,1.0,1
89,24,62.0,1.74,5.0,6,2.0,4,0.6,4,8.0,0.0,1
90,15,48.0,1.57,2.0,4,2.0,3,1.0,8,8.0,1.0,1
91,20,50.0,1.62,0.0,0,2.0,4,1.0,8,8.0,0.0,0
92,43,67.0,1.68,0.0,2,0.5,3,0.0,6,8.0,0.8,0
93,22,80.0,1.72,2.0,5,2.0,5,0.0,15,7.0,0.0,0
94,22,72.0,1.82,1.0,3,1.0,3,1.0,9,7.0,0.0,1
95,20,54.0,1.58,2.0,5,2.0,3,0.0,5,9.0,8.0,1
96,14,67.0,1.83,3.5,5,1.5,3,0.5,4,9.0,0.0,1
97,19,45.0,1.45,1.0,5,2.0,4,0.0,7,5.0,0.0,0
98,37,70.0,1.6,2.0,5,2.0,3,0.0,5,8.0,0.0,0
99,45,74.0,1.72,7.0,2,0.5,3,0.6,5,8.0,0.0,0
100,1,6.0,0.9,5.0,7,2.0,4,2.0,1,5.0,0.0,1
101,34,73.0,1.56,0.15,6,1.0,3,0.5,3,9.5,0.0,1
102,18,45.0,1.56,0.0,0,1.0,3,0.5,18,6.0,0.375,1
103,39,91.0,1.75,0.3,5,2.0,3,0.2,5,7.0,2.0,0
104,45,87.0,1.7,0.5,3,1.5,3,0.0,2,6.0,2.0,0
105,12,60.0,1.6,0.0,0,3.0,4,1.0,1,0.0,0.0,1
106,25,80.0,1.63,30.0,3,2.5,4,0.0,4,8.0,0.0,1
107,19,71.0,1.64,1.0,5,3.0,3,1.0,6,8.0,0.0,1
108,19,70.0,1.79,2.0,4,2.0,4,1.0,1,8.0,10.0,0
109,19,60.0,1.65,1.0,5,2.0,3,0.0,6,9.0,3.0,1
110,32,83.0,1.6,1.0,5,1.0,3,0.0,7,5.0,0.0,1
111,27,120.0,1.85,1.0,5,2.0,5,1.0,5,8.0,0.0,1
112,19,60.0,1.5,1.0,3,2.0,3,1.0,3,8.0,0.0,1
113,18,53.0,1.8,0.0,1,2.0,2,0.5,18,6.0,1.0,1
114,18,1.5,1.55,4.0,5,2.0,5,0.0,12,5.0,0.0,1
115,11,39.0,1.5,1.0,3,2.0,5,0.4,1,9.0,0.0,0
116,18,82.0,1.73,1.0,2,1.0,3,0.8,6,6.0,0.5,0
117,24,67.0,1.6,1.0,3,2.0,3,0.0,6,8.0,0.0,0
118,19,53.0,1.75,2.0,2,4.0,3,0.4,2,10.0,0.0,0
119,31,101.0,1.62,6.0,6,3.0,3,0.0,4,7.0,2.0,0
120,22,76.0,1.5,1.0,3,1.0,3,0.7,3,8.0,0.9,1
121,41,97.0,1.7,1.0,7,2.5,3,3.0,4,8.0,0.0,1
122,42,81.0,1.72,0.35,1,1.0,3,0.6,3,7.0,0.0,1
123,46,80.0,1.62,30.0,6,1.0,2,0.5,3,6.0,0.25,0
124,19,65.0,1.58,1.0,5,1.5,2,0.0,7,7.0,1.0,0
125,36,130.0,1.8,0.0,1,2.0,2,1.0,10,5.0,0.0,1
126,36,87.0,1.66,1.0,5,2.0,3,0.0,4,8.0,0.0,1
127,35,78.0,1.55,0.15,3,3.0,4,0.0,3,9.0,0.0,1
128,45,63.0,1.67,1.0,5,1.0,3,1.0,8,6.0,0.0,0
129,18,58.0,1.68,1.0,2,1.0,4,0.0,5,6.0,0.0,0
130,54,81.0,1.66,1.0,3,2.0,3,0.0,4,10.0,0.4,1
